5.00,8.00,3.00,120.00,3.04003
5.00,8.00,4.00,160.00,4.45573
5.00,8.00,5.00,200.00,6.80018
5.00,8.00,6.00,240.00,9.88728
5.00,8.00,7.00,280.00,14.66065
5.00,8.00,8.00,320.00,21.12628
5.00,8.00,9.00,360.00,29.03427
5.00,9.00,2.00,90.00,2.52433
5.00,9.00,3.00,135.00,3.34404
5.00,9.00,4.00,180.00,5.25833
5.00,9.00,5.00,225.00,8.17622
5.00,9.00,6.00,270.00,12.69228
5.00,9.00,7.00,315.00,19.70067
5.00,9.00,8.00,360.00,28.03357
5.00,9.00,9.00,405.00,39.36767
6.00,2.00,2.00,24.00,2.14138
6.00,2.00,3.00,36.00,2.27028
6.00,2.00,4.00,48.00,2.23139
6.00,2.00,5.00,60.00,2.47702
6.00,2.00,6.00,72.00,2.52797
6.00,2.00,7.00,84.00,2.82709
6.00,2.00,8.00,96.00,3.07753
6.00,2.00,9.00,108.00,3.31097
6.00,3.00,2.00,36.00,2.21676
6.00,3.00,3.00,54.00,2.34857
6.00,3.00,4.00,72.00,2.42791
6.00,3.00,5.00,90.00,2.80816
6.00,3.00,6.00,108.00,3.08458
6.00,3.00,7.00,126.00,3.72374
6.00,3.00,8.00,144.00,4.31570
6.00,3.00,9.00,162.00,5.12299
6.00,4.00,2.00,48.00,2.32263
6.00,4.00,3.00,72.00,2.54550
6.00,4.00,4.00,96.00,2.77586
6.00,4.00,5.00,120.00,3.37318
6.00,4.00,6.00,144.00,4.09389
6.00,4.00,7.00,168.00,5.10580
6.00,4.00,8.00,192.00,6.51073
6.00,4.00,9.00,216.00,8.11473
6.00,5.00,2.00,60.00,2.39310
6.00,5.00,3.00,90.00,2.75737
6.00,5.00,4.00,120.00,3.20689
6.00,5.00,5.00,150.00,4.19888
6.00,5.00,6.00,180.00,5.40350
6.00,5.00,7.00,210.00,7.10701
6.00,5.00,8.00,240.00,9.51465
6.00,5.00,9.00,270.00,12.43967
6.00,6.00,2.00,72.00,2.43523
6.00,6.00,3.00,108.00,2.98593
6.00,6.00,4.00,144.00,3.82675
6.00,6.00,5.00,180.00,5.10046
6.00,6.00,6.00,216.00,7.24654
6.00,6.00,7.00,252.00,10.00393
6.00,6.00,8.00,288.00,13.49641
6.00,6.00,9.00,324.00,18.24526
6.00,7.00,2.00,84.00,2.67685
6.00,7.00,3.00,126.00,3.28164
6.00,7.00,4.00,168.00,4.47724
6.00,7.00,5.00,210.00,6.63153
6.00,7.00,6.00,252.00,9.58784
6.00,7.00,7.00,294.00,13.74245
6.00,7.00,8.00,336.00,19.20922
6.00,7.00,9.00,378.00,26.50720
6.00,8.00,2.00,96.00,2.71093
6.00,8.00,3.00,144.00,3.74139
6.00,8.00,4.00,192.00,5.33298
6.00,8.00,5.00,240.00,8.19251
6.00,8.00,6.00,288.00,12.22184
6.00,8.00,7.00,336.00,18.59259
6.00,8.00,8.00,384.00,26.86850
6.00,8.00,9.00,432.00,36.91569
6.00,9.00,2.00,108.00,2.94818
6.00,9.00,3.00,162.00,4.27859
6.00,9.00,4.00,216.00,6.53253
6.00,9.00,5.00,270.00,10.29711
6.00,9.00,6.00,324.00,15.88251
6.00,9.00,7.00,378.00,24.31949
6.00,9.00,8.00,432.00,35.60472
6.00,9.00,9.00,486.00,49.95648
7.00,2.00,2.00,28.00,2.41868
7.00,2.00,3.00,42.00,2.61940
7.00,2.00,4.00,56.00,2.74163
7.00,2.00,5.00,70.00,2.89848
7.00,2.00,6.00,84.00,3.07567
7.00,2.00,7.00,98.00,3.47036
7.00,2.00,8.00,112.00,3.71632
7.00,2.00,9.00,126.00,4.07847
7.00,3.00,2.00,42.00,2.62257
7.00,3.00,3.00,63.00,2.67341
7.00,3.00,4.00,84.00,3.07261
7.00,3.00,5.00,105.00,3.25111
7.00,3.00,6.00,126.00,3.81733
7.00,3.00,7.00,147.00,4.49489
7.00,3.00,8.00,168.00,5.30300
7.00,3.00,9.00,189.00,6.40539
7.00,4.00,2.00,56.00,2.75935
7.00,4.00,3.00,84.00,3.02662
7.00,4.00,4.00,112.00,3.31249
7.00,4.00,5.00,140.00,4.12033
7.00,4.00,6.00,168.00,5.07712
7.00,4.00,7.00,196.00,6.38654
7.00,4.00,8.00,224.00,7.74279
7.00,4.00,9.00,252.00,9.88641
7.00,5.00,2.00,70.00,2.82033
7.00,5.00,3.00,105.00,3.26368
7.00,5.00,4.00,140.00,3.91209
7.00,5.00,5.00,175.00,5.07161
7.00,5.00,6.00,210.00,6.76317
7.00,5.00,7.00,245.00,8.88812
7.00,5.00,8.00,280.00,11.69012
7.00,5.00,9.00,315.00,15.57367
7.00,6.00,2.00,84.00,2.95135
7.00,6.00,3.00,126.00,3.67404
7.00,6.00,4.00,168.00,4.68842
7.00,6.00,5.00,210.00,6.32796
7.00,6.00,6.00,252.00,8.86113
7.00,6.00,7.00,294.00,12.41114
7.00,6.00,8.00,336.00,16.90540
7.00,6.00,9.00,378.00,22.68301
7.00,7.00,2.00,98.00,3.14224
7.00,7.00,3.00,147.00,4.00020
7.00,7.00,4.00,196.00,5.66878
7.00,7.00,5.00,245.00,8.01347
7.00,7.00,6.00,294.00,11.86639
7.00,7.00,7.00,343.00,16.85353
7.00,7.00,8.00,392.00,23.72030
7.00,7.00,9.00,441.00,32.73858
7.00,8.00,2.00,112.00,3.35921
7.00,8.00,3.00,168.00,4.57632
7.00,8.00,4.00,224.00,6.65519
7.00,8.00,5.00,280.00,10.18431
7.00,8.00,6.00,336.00,15.52533
7.00,8.00,7.00,392.00,23.44655
7.00,8.00,8.00,448.00,33.18511
7.00,8.00,9.00,504.00,45.63768
7.00,9.00,2.00,126.00,3.58990
7.00,9.00,3.00,189.00,5.12402
7.00,9.00,4.00,252.00,8.00916
7.00,9.00,5.00,315.00,12.93359
7.00,9.00,6.00,378.00,20.07521
7.00,9.00,7.00,441.00,30.43457
7.00,9.00,8.00,504.00,44.01985
7.00,9.00,9.00,567.00,61.38987
8.00,2.00,2.00,32.00,3.15494
8.00,2.00,3.00,48.00,3.03516
8.00,2.00,4.00,64.00,3.20946
8.00,2.00,5.00,80.00,3.29009
8.00,2.00,6.00,96.00,3.68646
8.00,2.00,7.00,112.00,3.93450
8.00,2.00,8.00,128.00,4.51206
8.00,2.00,9.00,144.00,5.01182
8.00,3.00,2.00,48.00,3.10451
8.00,3.00,3.00,72.00,3.23592
8.00,3.00,4.00,96.00,3.45242
8.00,3.00,5.00,120.00,4.02486
8.00,3.00,6.00,144.00,4.63435
8.00,3.00,7.00,168.00,5.46646
8.00,3.00,8.00,192.00,6.45081
8.00,3.00,9.00,216.00,7.64789
8.00,4.00,2.00,64.00,3.10245
8.00,4.00,3.00,96.00,3.51553
8.00,4.00,4.00,128.00,4.00577
8.00,4.00,5.00,160.00,4.92476
8.00,4.00,6.00,192.00,6.03292
8.00,4.00,7.00,224.00,7.49835
8.00,4.00,8.00,256.00,9.88239
8.00,4.00,9.00,288.00,11.83516
8.00,5.00,2.00,80.00,3.24684
8.00,5.00,3.00,120.00,3.83884
8.00,5.00,4.00,160.00,4.69113
8.00,5.00,5.00,200.00,6.19702
8.00,5.00,6.00,240.00,8.24178
8.00,5.00,7.00,280.00,10.76196
8.00,5.00,8.00,320.00,14.34589
8.00,5.00,9.00,360.00,18.18644
8.00,6.00,2.00,96.00,3.55890
8.00,6.00,3.00,144.00,4.20028
8.00,6.00,4.00,192.00,5.61385
8.00,6.00,5.00,240.00,7.66797
