" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2015, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Input data file for Frame3dd (N  m/1.000  kg) 2015-11-23 16:36:01.068244               "
" Mon Nov 23 16:42:16 2015
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions , Internal Forces 
 First Row , 1 , 17 , 547 , 3597  , 4129  
 Last Row , 1 , 544 , 3594 , 4124 , 7176 

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    46, -1.23548e-02, -1.14032e-02, -5.87128e-02,  3.92049e-02, -3.80214e-02,  6.30227e-05,
    47, -6.13780e-03, -5.01192e-03, -6.17895e-02,  3.92594e-02, -3.81199e-02,  1.72100e-04,
    48, -6.11065e-03, -4.98477e-03, -6.19540e-02,  3.92846e-02, -3.81216e-02,  1.95067e-04,
    49, -1.23178e-02, -1.14132e-02, -6.82717e-02,  3.92981e-02, -3.81331e-02,  2.31191e-04,
    50, -1.23449e-02, -1.14404e-02, -6.81072e-02,  3.92733e-02, -3.81185e-02,  2.03134e-04,
    51, -6.10074e-03, -5.02191e-03, -7.13484e-02,  3.93147e-02, -3.81533e-02,  2.61128e-04,
    52,  1.26533e-04,  1.36645e-03, -7.44326e-02,  3.93444e-02, -3.82037e-02,  3.21133e-04,
    53,  1.73490e-04,  1.41341e-03, -7.45956e-02,  3.93576e-02, -3.82065e-02,  3.33334e-04,
    54, -6.03665e-03, -5.03914e-03, -8.09269e-02,  3.93697e-02, -3.82163e-02,  3.59410e-04,
    55, -6.08361e-03, -5.08610e-03, -8.07639e-02,  3.93515e-02, -3.82050e-02,  3.37919e-04,
    56,  1.90639e-04,  1.34922e-03, -8.40111e-02,  3.93784e-02, -3.82152e-02,  3.70795e-04,
    57,  6.42090e-03,  7.73694e-03, -8.70975e-02,  3.93990e-02, -3.82334e-02,  4.04797e-04,
    58,  6.47891e-03,  7.79495e-03, -8.72629e-02,  3.94061e-02, -3.82371e-02,  4.11018e-04,
    59,  2.69839e-04,  1.32794e-03, -9.36008e-02,  3.94111e-02, -3.82440e-02,  4.26090e-04,
    60,  2.11825e-04,  1.26992e-03, -9.34354e-02,  3.94016e-02, -3.82358e-02,  4.14234e-04,
    61,  6.50010e-03,  7.71565e-03, -9.66872e-02,  3.94146e-02, -3.82333e-02,  4.26945e-04,
    62,  1.27298e-02,  1.41034e-02, -9.97732e-02,  3.94251e-02, -3.82353e-02,  4.42651e-04,
    63,  1.27926e-02,  1.41662e-02, -9.99414e-02,  3.94265e-02, -3.82377e-02,  4.44709e-04,
    64,  6.58583e-03,  7.69263e-03, -1.06281e-01,  3.94322e-02, -3.82425e-02,  4.54373e-04,
    65,  6.52304e-03,  7.62984e-03, -1.06113e-01,  3.94259e-02, -3.82375e-02,  4.45258e-04,
    66,  1.28155e-02,  1.40804e-02, -1.09367e-01,  3.94269e-02, -3.82348e-02,  4.44908e-04,
    67, -1.04713e-03, -1.04707e-03, -1.04740e-03,  1.89875e-02, -2.03891e-02,  1.40380e-03,
    68, -4.64351e-03, -4.35112e-03,  5.51086e-04,  1.97615e-02, -2.15583e-02,  5.03695e-04,
    69, -4.41324e-03, -4.41323e-03, -4.41349e-03,  2.31989e-02, -2.46442e-02,  1.44335e-03,
    70, -4.58179e-03, -4.58181e-03, -4.58196e-03,  2.35650e-02, -2.42088e-02,  6.44825e-04,
    71, -9.85420e-04, -1.27783e-03, -6.18048e-03,  2.06268e-02, -2.06953e-02,  1.36769e-03,
    72, -8.91064e-03, -8.91064e-03, -2.41738e-03,  2.65741e-02, -2.65741e-02,    0.0,    
    73, -8.91081e-03, -8.91080e-03, -8.91097e-03,  2.85373e-02, -2.87657e-02,  2.28076e-04,
    74, -8.91080e-03, -8.91081e-03, -8.91097e-03,  2.87657e-02, -2.85373e-02, -2.28076e-04,
    75, -4.58174e-03, -4.58174e-03, -1.10754e-02,  2.65744e-02, -2.65744e-02,    0.0,    
    76, -1.38182e-02, -1.39218e-02, -6.38638e-03,  3.07847e-02, -3.04015e-02, -3.75767e-04,
    77, -1.39000e-02, -1.39000e-02, -1.39001e-02,  3.20805e-02, -3.18777e-02, -2.03004e-04,
    78, -1.38402e-02, -1.38402e-02, -1.38404e-02,  3.23228e-02, -3.17776e-02, -5.45132e-04,
    79, -8.93263e-03, -8.82905e-03, -1.63648e-02,  3.07797e-02, -3.04069e-02, -3.81052e-04,
    80, -1.91749e-02, -1.93315e-02, -1.10659e-02,  3.37593e-02, -3.31496e-02, -5.94946e-04,
    81, -1.92985e-02, -1.92985e-02, -1.92987e-02,  3.46045e-02, -3.41885e-02, -4.16146e-04,
    82, -1.92081e-02, -1.92081e-02, -1.92083e-02,  3.48720e-02, -3.41397e-02, -7.32413e-04,
    83, -1.38733e-02, -1.37166e-02, -2.19826e-02,  3.37495e-02, -3.31597e-02, -6.04968e-04,
    84, -2.48512e-02, -2.50483e-02, -1.62520e-02,  3.59274e-02, -3.51405e-02, -7.77022e-04,
    85, -2.50067e-02, -2.50067e-02, -2.50068e-02,  3.64533e-02, -3.58891e-02, -5.64314e-04,
    86, -2.48929e-02, -2.48929e-02, -2.48931e-02,  3.67479e-02, -3.58717e-02, -8.76534e-04,
    87, -1.92497e-02, -1.90526e-02, -2.78493e-02,  3.59207e-02, -3.51474e-02, -7.83833e-04,
    88, -3.07619e-02, -3.09907e-02, -2.18022e-02,  3.75305e-02, -3.66243e-02, -9.10805e-04,
    89, -3.09424e-02, -3.09424e-02, -3.09425e-02,  3.77881e-02, -3.71015e-02, -6.85239e-04,
    90, -3.08104e-02, -3.08103e-02, -3.08105e-02,  3.80760e-02, -3.70626e-02, -1.02528e-03,
    91, -2.49413e-02, -2.47124e-02, -3.39013e-02,  3.75349e-02, -3.66215e-02, -9.08362e-04,
    92, -3.68261e-02, -3.70740e-02, -2.76332e-02,  3.85539e-02, -3.76283e-02, -9.86827e-04,
    93, -3.70217e-02, -3.70217e-02, -3.70217e-02,  3.86454e-02, -3.78277e-02, -8.16653e-04,
    94, -3.68786e-02, -3.68785e-02, -3.68786e-02,  3.85760e-02, -3.75004e-02, -1.09653e-03,
    95, -3.08628e-02, -3.06148e-02, -4.00559e-02,  3.87894e-02, -3.76700e-02, -6.41543e-04,
    96, -2.47370e-02, -2.42552e-02, -4.32785e-02,  3.90314e-02, -3.77319e-02, -3.10217e-04,
    97, -3.09231e-02, -3.05987e-02, -4.95432e-02,  3.90210e-02, -3.78778e-02, -2.39245e-04,
    98, -3.08791e-02, -3.05547e-02, -4.93628e-02,  3.90021e-02, -3.77232e-02, -2.87550e-04,
    99, -2.47532e-02, -2.41952e-02, -5.25855e-02,  3.91172e-02, -3.78495e-02, -1.19743e-04,
   100, -1.85421e-02, -1.77905e-02, -5.58233e-02,  3.92247e-02, -3.80053e-02,  8.17702e-05,
   101, -2.47406e-02, -2.41986e-02, -6.21265e-02,  3.92184e-02, -3.80508e-02,  9.21999e-05,
   102, -2.47498e-02, -2.42078e-02, -6.19543e-02,  3.92237e-02, -3.80052e-02,  8.23265e-05,
   103, -1.85387e-02, -1.78032e-02, -6.51921e-02,  3.92676e-02, -3.80670e-02,  1.65222e-04,
   104, -1.22806e-02, -1.13760e-02, -6.84368e-02,  3.93202e-02, -3.81542e-02,  2.71369e-04,
   105, -1.84879e-02, -1.78169e-02, -7.47608e-02,  3.93220e-02, -3.81853e-02,  2.82906e-04,
   106, -1.85251e-02, -1.78541e-02, -7.45958e-02,  3.93214e-02, -3.81544e-02,  2.70527e-04,
   107, -1.22670e-02, -1.14269e-02, -7.78404e-02,  3.93514e-02, -3.81856e-02,  3.23139e-04,
   108, -5.98256e-03, -4.98505e-03, -8.10902e-02,  3.93876e-02, -3.82323e-02,  3.89096e-04,
   109, -1.21931e-02, -1.14467e-02, -8.74262e-02,  3.93840e-02, -3.82522e-02,  3.91983e-04,
   110, -1.22472e-02, -1.15008e-02, -8.72629e-02,  3.93878e-02, -3.82324e-02,  3.88918e-04,
   111, -5.96280e-03, -5.05899e-03, -9.05127e-02,  3.94017e-02, -3.82388e-02,  4.11237e-04,
   112,  3.31938e-04,  1.39004e-03, -9.37655e-02,  3.94196e-02, -3.82548e-02,  4.42738e-04,
   113, -5.87802e-03, -5.08177e-03, -1.00106e-01,  3.94175e-02, -3.82719e-02,  4.45037e-04,
   114, -5.94012e-03, -5.14387e-03, -9.99416e-02,  3.94200e-02, -3.82548e-02,  4.42475e-04,
   115,  3.54624e-04,  1.30516e-03, -1.03194e-01,  3.94285e-02, -3.82496e-02,  4.51903e-04,
   116,  6.65138e-03,  7.75818e-03, -1.06450e-01,  3.94389e-02, -3.82483e-02,  4.66424e-04,
   117,  4.44134e-04,  1.28112e-03, -1.12792e-01,  3.94347e-02, -3.82619e-02,  4.64866e-04,
   118,  3.78576e-04,  1.21556e-03, -1.12624e-01,  3.94402e-02, -3.82488e-02,  4.65382e-04,
   119,  6.67533e-03,  7.66858e-03, -1.15879e-01,  3.94396e-02, -3.82462e-02,  4.65108e-04,
   120, -4.20516e-03, -4.20514e-03, -4.20549e-03,  2.58635e-02, -2.74079e-02,  1.54513e-03,
   121, -8.92696e-03, -8.56709e-03, -2.09039e-03,  2.63085e-02, -2.80827e-02,  1.13855e-03,
   122, -8.64338e-03, -8.64336e-03, -8.64366e-03,  2.84539e-02, -3.00043e-02,  1.54971e-03,
   123, -8.85094e-03, -8.85093e-03, -8.85118e-03,  2.85193e-02, -2.94965e-02,  9.77641e-04,
   124, -4.12919e-03, -4.48905e-03, -1.09664e-02,  2.67334e-02, -2.76587e-02,  1.56303e-03,
   125, -1.39218e-02, -1.38182e-02, -6.38638e-03,  3.04015e-02, -3.07847e-02,  3.75767e-04,
   126, -1.38402e-02, -1.38402e-02, -1.38404e-02,  3.17776e-02, -3.23228e-02,  5.45132e-04,
   127, -1.39000e-02, -1.39000e-02, -1.39001e-02,  3.18777e-02, -3.20805e-02,  2.03004e-04,
   128, -8.82905e-03, -8.93263e-03, -1.63648e-02,  3.04069e-02, -3.07797e-02,  3.81052e-04,
   129, -1.93276e-02, -1.93276e-02, -1.11862e-02,  3.32772e-02, -3.32772e-02,    0.0,    
   130, -1.93277e-02, -1.93277e-02, -1.93278e-02,  3.42393e-02, -3.43501e-02,  1.10826e-04,
   131, -1.93277e-02, -1.93277e-02, -1.93278e-02,  3.43501e-02, -3.42393e-02, -1.10826e-04,
   132, -1.39000e-02, -1.39000e-02, -2.20417e-02,  3.32774e-02, -3.32774e-02,    0.0,    
   133, -2.50436e-02, -2.50941e-02, -1.64353e-02,  3.53748e-02, -3.51785e-02, -1.94356e-04,
   134, -2.50835e-02, -2.50835e-02, -2.50836e-02,  3.60369e-02, -3.59416e-02, -9.53261e-05,
   135, -2.50543e-02, -2.50543e-02, -2.50544e-02,  3.61686e-02, -3.58926e-02, -2.76084e-04,
   136, -1.93384e-02, -1.92878e-02, -2.79469e-02,  3.53735e-02, -3.51800e-02, -1.95799e-04,
   137, -3.09884e-02, -3.10708e-02, -2.20310e-02,  3.69256e-02, -3.66048e-02, -3.21556e-04,
   138, -3.10534e-02, -3.10534e-02, -3.10534e-02,  3.73235e-02, -3.71141e-02, -2.09330e-04,
   139, -3.10059e-02, -3.10058e-02, -3.10059e-02,  3.74768e-02, -3.70802e-02, -3.96916e-04,
   140, -2.50718e-02, -2.49893e-02, -3.40292e-02,  3.69260e-02, -3.66044e-02, -3.21168e-04,
   141, -3.70854e-02, -3.71951e-02, -2.78911e-02,  3.79976e-02, -3.75693e-02, -4.23184e-04,
   142, -3.71720e-02, -3.71720e-02, -3.71720e-02,  3.82041e-02, -3.78970e-02, -3.06022e-04,
   143, -3.71087e-02, -3.71086e-02, -3.71086e-02,  3.83695e-02, -3.78186e-02, -5.59116e-04,
   144, -3.10291e-02, -3.09192e-02, -4.02234e-02,  3.79951e-02, -3.75727e-02, -4.27052e-04,
   145, -4.32573e-02, -4.34078e-02, -3.39314e-02,  3.86919e-02, -3.81320e-02, -6.08451e-04,
   146, -4.33761e-02, -4.33760e-02, -4.33760e-02,  3.87610e-02, -3.82911e-02, -4.72929e-04,
   147, -4.32892e-02, -4.32891e-02, -4.32891e-02,  3.87179e-02, -3.80676e-02, -6.64994e-04,
   148, -3.71405e-02, -3.69899e-02, -4.64663e-02,  3.88572e-02, -3.80912e-02, -3.93598e-04,
   149, -3.09500e-02, -3.06256e-02, -4.96803e-02,  3.90200e-02, -3.80448e-02, -1.96921e-04,
   150, -3.71773e-02, -3.69801e-02, -5.59711e-02,  3.90228e-02, -3.81898e-02, -1.23424e-04,
   151, -3.71504e-02, -3.69533e-02, -5.58341e-02,  3.90069e-02, -3.80408e-02, -1.86265e-04,
   152, -3.09598e-02, -3.05890e-02, -5.90481e-02,  3.91215e-02, -3.80693e-02, -3.34990e-05,
   153, -2.47248e-02, -2.41828e-02, -6.22826e-02,  3.92240e-02, -3.81113e-02,  1.15360e-04,
   154, -3.09385e-02, -3.05948e-02, -6.85953e-02,  3.91997e-02, -3.82137e-02,  1.26408e-04,
   155, -3.09542e-02, -3.06105e-02, -6.84393e-02,  3.92169e-02, -3.81093e-02,  1.20517e-04,
   156, -2.47191e-02, -2.42044e-02, -7.16738e-02,  3.92736e-02, -3.81579e-02,  2.06867e-04,
   157, -1.84456e-02, -1.77745e-02, -7.49174e-02,  3.93324e-02, -3.82218e-02,  3.08431e-04,
   158, -2.46613e-02, -2.42199e-02, -8.12478e-02,  3.93062e-02, -3.82785e-02,  2.95346e-04,
   159, -2.47037e-02, -2.42623e-02, -8.10913e-02,  3.93313e-02, -3.82216e-02,  3.09214e-04,
   160, -1.84301e-02, -1.78324e-02, -8.43349e-02,  3.93561e-02, -3.82412e-02,  3.49980e-04,
   161, -1.21367e-02, -1.13902e-02, -8.75833e-02,  3.93876e-02, -3.82736e-02,  4.05486e-04,
   162, -1.83531e-02, -1.78531e-02, -9.39228e-02,  3.93646e-02, -3.83196e-02,  3.90333e-04,
   163, -1.84095e-02, -1.79096e-02, -9.37658e-02,  3.93875e-02, -3.82735e-02,  4.05538e-04,
   164, -1.21161e-02, -1.14674e-02, -9.70142e-02,  3.94014e-02, -3.82775e-02,  4.25076e-04,
   165, -5.81438e-03, -5.01813e-03, -1.00266e-01,  3.94212e-02, -3.82885e-02,  4.55515e-04,
   166, -1.20292e-02, -1.14907e-02, -1.06610e-01,  3.93971e-02, -3.83247e-02,  4.36541e-04,
   167, -1.20928e-02, -1.15544e-02, -1.06450e-01,  3.94212e-02, -3.82885e-02,  4.55525e-04,
   168, -5.79113e-03, -5.10512e-03, -1.09702e-01,  3.94255e-02, -3.82792e-02,  4.58712e-04,
   169,  5.10002e-04,  1.34698e-03, -1.12955e-01,  3.94338e-02, -3.82719e-02,  4.69789e-04,
   170, -5.70120e-03, -5.12927e-03, -1.19299e-01,  3.94128e-02, -3.83058e-02,  4.51075e-04,
   171, -5.76707e-03, -5.19514e-03, -1.19135e-01,  3.94356e-02, -3.82722e-02,  4.68608e-04,
   172,  5.34067e-04,  1.25696e-03, -1.22389e-01,  3.94329e-02, -3.82675e-02,  4.65136e-04,
   173, -8.43027e-03, -8.43024e-03, -8.43063e-03,  3.01439e-02, -3.16876e-02,  1.54420e-03,
   174, -1.38276e-02, -1.34588e-02, -5.98380e-03,  3.04361e-02, -3.21345e-02,  1.31415e-03,
   175, -1.35369e-02, -1.35369e-02, -1.35372e-02,  3.18708e-02, -3.34322e-02,  1.56129e-03,
   176, -1.37497e-02, -1.37497e-02, -1.37499e-02,  3.18784e-02, -3.29716e-02,  1.09357e-03,
   177, -8.35243e-03, -8.72114e-03, -1.61968e-02,  3.06929e-02, -3.18781e-02,  1.57076e-03,
   178, -1.93315e-02, -1.91749e-02, -1.10659e-02,  3.31496e-02, -3.37593e-02,  5.94946e-04,
   179, -1.92081e-02, -1.92081e-02, -1.92083e-02,  3.41397e-02, -3.48720e-02,  7.32413e-04,
   180, -1.92985e-02, -1.92985e-02, -1.92987e-02,  3.41885e-02, -3.46045e-02,  4.16146e-04,
   181, -1.37166e-02, -1.38733e-02, -2.19826e-02,  3.31597e-02, -3.37495e-02,  6.04968e-04,
   182, -2.50941e-02, -2.50436e-02, -1.64353e-02,  3.51785e-02, -3.53748e-02,  1.94356e-04,
   183, -2.50543e-02, -2.50543e-02, -2.50544e-02,  3.58926e-02, -3.61686e-02,  2.76084e-04,
   184, -2.50835e-02, -2.50835e-02, -2.50836e-02,  3.59416e-02, -3.60369e-02,  9.53261e-05,
   185, -1.92878e-02, -1.93384e-02, -2.79469e-02,  3.51800e-02, -3.53735e-02,  1.95799e-04,
   186, -3.10672e-02, -3.10672e-02, -2.20916e-02,  3.66728e-02, -3.66728e-02,    0.0,    
   187, -3.10672e-02, -3.10672e-02, -3.10673e-02,  3.71407e-02, -3.71944e-02,  5.37963e-05,
   188, -3.10672e-02, -3.10672e-02, -3.10673e-02,  3.71944e-02, -3.71407e-02, -5.37963e-05,
   189, -2.50835e-02, -2.50835e-02, -3.40591e-02,  3.66728e-02, -3.66728e-02,    0.0,    
   190, -3.71923e-02, -3.72162e-02, -2.79883e-02,  3.76923e-02, -3.76025e-02, -8.97160e-05,
   191, -3.72112e-02, -3.72112e-02, -3.72112e-02,  3.79795e-02, -3.79366e-02, -4.27170e-05,
   192, -3.71974e-02, -3.71974e-02, -3.71974e-02,  3.80463e-02, -3.79049e-02, -1.41611e-04,
   193, -3.10723e-02, -3.10484e-02, -4.02763e-02,  3.76923e-02, -3.76026e-02, -8.98329e-05,
   194, -4.34134e-02, -4.34574e-02, -3.40593e-02,  3.83851e-02, -3.82160e-02, -1.63063e-04,
   195, -4.34481e-02, -4.34481e-02, -4.34480e-02,  3.85138e-02, -3.84075e-02, -1.05472e-04,
   196, -4.34228e-02, -4.34227e-02, -4.34227e-02,  3.86053e-02, -3.83424e-02, -2.68605e-04,
   197, -3.72068e-02, -3.71627e-02, -4.65607e-02,  3.83818e-02, -3.82200e-02, -1.67319e-04,
   198, -4.96667e-02, -4.97476e-02, -4.02454e-02,  3.87932e-02, -3.84980e-02, -3.33864e-04,
   199, -4.97306e-02, -4.97305e-02, -4.97304e-02,  3.88400e-02, -3.86086e-02, -2.36046e-04,
   200, -4.96839e-02, -4.96838e-02, -4.96837e-02,  3.88154e-02, -3.84680e-02, -3.57340e-04,
   201, -4.34399e-02, -4.33590e-02, -5.28610e-02,  3.89087e-02, -3.84254e-02, -1.98625e-04,
   202, -3.71878e-02, -3.69906e-02, -5.60665e-02,  3.90202e-02, -3.83390e-02, -7.86457e-05,
   203, -4.34544e-02, -4.33552e-02, -6.23820e-02,  3.90129e-02, -3.84765e-02, -3.22888e-05,
   204, -4.34438e-02, -4.33447e-02, -6.22866e-02,  3.90149e-02, -3.83371e-02, -7.42286e-05,
   205, -3.71916e-02, -3.69763e-02, -6.54922e-02,  3.91021e-02, -3.83311e-02,  3.57606e-05,
   206, -3.09195e-02, -3.05758e-02, -6.87160e-02,  3.91787e-02, -3.83233e-02,  1.34317e-04,
   207, -3.71658e-02, -3.69833e-02, -7.50428e-02,  3.91519e-02, -3.84318e-02,  1.40499e-04,
   208, -3.71848e-02, -3.70023e-02, -7.49222e-02,  3.91762e-02, -3.83227e-02,  1.36245e-04,
   209, -3.09126e-02, -3.06018e-02, -7.81460e-02,  3.92335e-02, -3.83271e-02,  2.13983e-04,
   210, -2.46205e-02, -2.41791e-02, -8.13813e-02,  3.92899e-02, -3.83398e-02,  2.92195e-04,
   211, -3.08571e-02, -3.06167e-02, -8.77183e-02,  3.92458e-02, -3.84289e-02,  2.68027e-04,
   212, -3.08978e-02, -3.06575e-02, -8.75848e-02,  3.92862e-02, -3.83387e-02,  2.94862e-04,
   213, -2.46057e-02, -2.42348e-02, -9.08201e-02,  3.93171e-02, -3.83484e-02,  3.35932e-04,
   214, -1.82992e-02, -1.77993e-02, -9.40616e-02,  3.93518e-02, -3.83647e-02,  3.87624e-04,
   215, -2.45321e-02, -2.42546e-02, -1.00406e-01,  3.93024e-02, -3.84367e-02,  3.48249e-04,
   216, -2.45860e-02, -2.43085e-02, -1.00267e-01,  3.93507e-02, -3.83645e-02,  3.88432e-04,
   217, -1.82795e-02, -1.78729e-02, -1.03508e-01,  3.93635e-02, -3.83585e-02,  4.03036e-04,
   218, -1.19693e-02, -1.14309e-02, -1.06754e-01,  3.93826e-02, -3.83570e-02,  4.29066e-04,
   219, -1.81978e-02, -1.78949e-02, -1.13100e-01,  3.93351e-02, -3.84247e-02,  3.88577e-04,
   220, -1.82577e-02, -1.79548e-02, -1.12956e-01,  3.93825e-02, -3.83570e-02,  4.29099e-04,
   221, -1.19474e-02, -1.15127e-02, -1.16201e-01,  3.93879e-02, -3.83447e-02,  4.31390e-04,
   222, -5.63938e-03, -5.06746e-03, -1.19449e-01,  3.93986e-02, -3.83330e-02,  4.42798e-04,
   223, -1.18630e-02, -1.15354e-02, -1.25794e-01,  3.93516e-02, -3.83911e-02,  3.98738e-04,
   224, -1.19248e-02, -1.15972e-02, -1.25645e-01,  3.94001e-02, -3.83335e-02,  4.41652e-04,
   225, -5.61679e-03, -5.15195e-03, -1.28892e-01,  3.93951e-02, -3.83229e-02,  4.32605e-04,
   226, -1.33194e-02, -1.33194e-02, -1.33197e-02,  3.29972e-02, -3.45647e-02,  1.56783e-03,
   227, -1.91737e-02, -1.87972e-02, -1.06497e-02,  3.32032e-02, -3.48838e-02,  1.41303e-03,
   228, -1.88769e-02, -1.88769e-02, -1.88772e-02,  3.42225e-02, -3.58471e-02,  1.62486e-03,
